Time,True,Meteo,Imagery,MM
2021-11-30 15:40:00,0.0,12.666386604309082,30.838720321655273,26.900440216064453
2021-11-30 15:50:00,0.0,7.885914325714111,24.474475860595703,19.068668365478516
2021-11-30 16:00:00,0.0,5.282546520233154,30.590896606445312,14.047006607055664
2021-11-30 16:10:00,0.0,3.4903812408447266,23.261760711669922,9.611108779907227
2021-11-30 16:20:00,0.0,2.1174464225769043,19.567325592041016,5.503894329071045
2021-11-30 16:30:00,0.0,1.819003939628601,15.61523723602295,4.4938435554504395
2021-11-30 16:40:00,0.0,1.5199506282806396,27.193859100341797,3.8460166454315186
2021-11-30 16:50:00,0.0,1.0986723899841309,30.04731559753418,3.56173038482666
2021-11-30 17:00:00,0.0,0.61421799659729,2.892426013946533,2.388526201248169
2021-11-30 17:10:00,0.0,0.3574409484863281,23.29071807861328,1.349825382232666
2021-11-30 17:20:00,0.0,0.16731366515159607,76.87515258789062,0.5354703664779663
2021-11-30 17:30:00,0.0,0.16987505555152893,66.88670349121094,0.42644181847572327
2021-11-30 17:40:00,0.0,0.14134342968463898,39.08638000488281,0.33394354581832886
2021-11-30 17:50:00,0.0,0.10374236851930618,4.529818534851074,0.2746224105358124
2021-11-30 18:00:00,0.0,0.06807984411716461,14.521515846252441,0.1992998868227005
2021-11-30 18:10:00,0.0,0.04831629619002342,15.664560317993164,0.15330995619297028
2021-11-30 18:20:00,0.0,5.108793258666992,30.239255905151367,9.216049194335938
2021-11-30 18:30:00,0.0,3.067258358001709,61.096099853515625,6.228203296661377
2021-12-01 06:30:00,0.0,11.158273696899414,53.818119049072266,9.58365249633789
2021-12-01 06:40:00,0.0,12.99221134185791,64.1029052734375,10.641927719116211
2021-12-01 06:50:00,0.0,14.87466049194336,103.48301696777344,11.973183631896973
2021-12-01 07:00:00,0.0,16.90488624572754,112.97592163085938,13.381088256835938
2021-12-01 07:10:00,1.0,18.879478454589844,122.56340026855469,14.875114440917969
2021-12-01 07:20:00,2.0,20.811616897583008,121.89095306396484,16.388628005981445
2021-12-01 07:30:00,3.0,22.48943328857422,109.2378921508789,18.005741119384766
2021-12-01 07:40:00,5.0,23.88066291809082,59.50440216064453,19.67022132873535
2021-12-01 07:50:00,6.999999523162842,24.259977340698242,41.39443588256836,21.380956649780273
2021-12-01 08:00:00,8.0,25.34587860107422,33.45649719238281,22.85083770751953
2021-12-01 08:10:00,10.0,26.2650089263916,32.66011047363281,23.558103561401367
2021-12-01 08:20:00,13.0,27.257450103759766,36.744110107421875,24.56917381286621
2021-12-01 08:30:00,15.0,28.884801864624023,53.60529708862305,26.813030242919922
2021-12-01 08:40:00,17.0,30.507911682128906,40.62636184692383,29.16202735900879
2021-12-01 08:50:00,19.0,32.34720230102539,35.401798248291016,31.93613052368164
2021-12-01 09:00:00,30.0,33.708412170410156,40.52924346923828,33.77054977416992
2021-12-01 09:10:00,65.0,44.38798522949219,42.1240119934082,53.09359359741211
2021-12-01 09:20:00,99.0,78.18560791015625,86.07566833496094,107.75343322753906
2021-12-01 09:30:00,120.99999237060547,110.96366882324219,96.11634826660156,149.787353515625
2021-12-01 09:40:00,110.0,134.1227569580078,191.4149932861328,168.8515167236328
2021-12-01 09:50:00,83.0,116.33735656738281,190.24478149414062,143.3214111328125
2021-12-01 10:00:00,59.0,94.22071075439453,127.50591278076172,108.35636138916016
2021-12-01 10:10:00,54.0,72.46786499023438,80.24317932128906,80.0439224243164
2021-12-01 10:20:00,49.0,73.17393493652344,69.0510025024414,75.50162506103516
2021-12-01 10:30:00,46.0,64.22010803222656,55.05975341796875,65.74530792236328
2021-12-01 10:40:00,48.0,62.79983901977539,47.292015075683594,61.94412612915039
2021-12-01 10:50:00,51.0,66.00836944580078,42.764671325683594,64.16107177734375
2021-12-01 11:00:00,52.0,68.75045013427734,45.411888122558594,67.753173828125
2021-12-01 11:10:00,48.0,69.34884643554688,26.73604965209961,69.76840209960938
2021-12-01 11:20:00,49.0,65.01544952392578,27.347976684570312,66.27848815917969
2021-12-01 11:30:00,54.0,67.71720123291016,22.256786346435547,69.26457977294922
2021-12-01 11:40:00,62.0,72.85855865478516,20.460189819335938,75.90974426269531
2021-12-01 11:50:00,78.0,80.9188232421875,51.97732162475586,89.84896087646484
2021-12-01 12:00:00,91.0,95.64045715332031,88.97713470458984,121.80709838867188
2021-12-01 12:10:00,92.0,106.63775634765625,78.96111297607422,139.47518920898438
2021-12-01 12:20:00,75.0,101.2360610961914,42.24410629272461,131.1029815673828
2021-12-01 12:30:00,62.0,81.5373764038086,36.16132736206055,106.45956420898438
2021-12-01 12:40:00,78.0,74.70841217041016,30.662954330444336,98.80647277832031
2021-12-01 12:50:00,79.0,94.38196563720703,32.56264877319336,121.92578887939453
2021-12-01 13:00:00,73.0,72.75117492675781,29.69853973388672,110.28998565673828
2021-12-01 13:10:00,61.000003814697266,64.73419952392578,37.22737503051758,101.9816665649414
2021-12-01 13:20:00,49.0,52.875404357910156,32.69289016723633,89.50215148925781
2021-12-01 13:30:00,39.0,44.0379638671875,35.3702392578125,78.93758392333984
2021-12-01 13:40:00,32.0,34.02286148071289,39.008663177490234,66.472412109375
2021-12-01 13:50:00,34.0,27.92884063720703,35.81609344482422,57.2201042175293
2021-12-01 14:00:00,35.0,37.33286666870117,37.733154296875,76.41954040527344
2021-12-01 14:10:00,25.0,28.21906089782715,37.23543930053711,74.34626007080078
2021-12-01 14:20:00,17.0,8.615015029907227,35.580970764160156,43.17979431152344
2021-12-01 14:30:00,10.0,6.184746265411377,39.359886169433594,37.714351654052734
2021-12-01 14:40:00,5.0,4.7829670906066895,55.2486457824707,29.7506103515625
2021-12-01 14:50:00,2.0,4.048007965087891,47.70598220825195,24.72795867919922
2021-12-01 15:00:00,0.0,2.330576181411743,51.60800552368164,16.827713012695312
2021-12-01 15:10:00,0.0,2.3940253257751465,51.54979705810547,16.610795974731445
2021-12-01 15:20:00,0.0,4.0112528800964355,49.793052673339844,30.650339126586914
2021-12-01 15:30:00,0.0,0.5606940388679504,40.57089614868164,9.00879192352295
2021-12-01 15:40:00,0.0,0.5995816588401794,35.76930236816406,5.7079997062683105
2021-12-01 15:50:00,0.0,0.8376821875572205,37.96364974975586,7.342134475708008
2021-12-01 16:00:00,0.0,0.29820677638053894,41.06964874267578,3.92596435546875
2021-12-01 16:10:00,0.0,0.23588016629219055,26.990182876586914,3.0412988662719727
2021-12-01 16:20:00,0.0,0.1979539543390274,29.067495346069336,2.6989552974700928
2021-12-01 16:30:00,0.0,0.10947540402412415,30.23158836364746,1.8318371772766113
2021-12-01 16:40:00,0.0,0.08624293655157089,10.441366195678711,1.3930896520614624
2021-12-01 16:50:00,0.0,0.0752701461315155,0.7760040760040283,1.4409263134002686
2021-12-01 17:00:00,0.0,0.039922017604112625,0.034551579505205154,1.1070096492767334
2021-12-01 17:10:00,0.0,0.026374012231826782,0.06216292455792427,0.860790491104126
2021-12-01 17:20:00,0.0,0.01805543713271618,29.049104690551758,0.6656192541122437
2021-12-01 17:30:00,0.0,0.013573938980698586,15.402402877807617,0.5368615984916687
2021-12-01 17:40:00,0.0,0.010166953317821026,0.7516840696334839,0.45586737990379333
2021-12-01 17:50:00,0.0,0.008009491488337517,0.028808442875742912,0.4330284893512726
2021-12-01 18:00:00,0.0,0.005118314176797867,0.001890838029794395,0.34236884117126465
2021-12-01 18:10:00,0.0,0.004407144151628017,0.00036415527574718,0.2857969105243683
2021-12-01 18:20:00,0.0,0.12595996260643005,3.3357417583465576,1.1058341264724731
2021-12-01 18:30:00,0.0,8.921797752380371,10.843595504760742,2.152829647064209
2021-12-02 06:30:00,0.0,13.90952205657959,21.842960357666016,6.997395992279053
2021-12-02 06:40:00,0.0,15.9429349899292,28.03425407409668,7.519028186798096
2021-12-02 06:50:00,0.0,16.476041793823242,40.783416748046875,4.374196529388428
2021-12-02 07:00:00,1.0,20.708799362182617,32.417118072509766,6.104527950286865
2021-12-02 07:10:00,6.0,25.218732833862305,25.141300201416016,14.095602035522461
2021-12-02 07:20:00,10.0,35.356143951416016,16.296781539916992,44.12539291381836
2021-12-02 07:30:00,18.0,33.30613327026367,63.21053695678711,25.655174255371094
2021-12-02 07:40:00,33.0,53.997344970703125,61.382659912109375,39.27608108520508
2021-12-02 07:50:00,45.0,93.85692596435547,61.22840881347656,123.43262481689453
2021-12-02 08:00:00,55.0,83.99858093261719,27.29428482055664,91.74933624267578
2021-12-02 08:10:00,66.0,101.2178726196289,34.781681060791016,105.0628662109375
2021-12-02 08:20:00,58.0,106.7286376953125,35.22263717651367,122.12735748291016
2021-12-02 08:30:00,49.0,76.57746124267578,80.88678741455078,51.7607307434082
2021-12-02 08:40:00,55.999996185302734,70.47859191894531,111.24378967285156,26.025537490844727
2021-12-02 08:50:00,40.0,86.66492462158203,164.79153442382812,62.47149658203125
2021-12-02 09:00:00,44.0,50.350807189941406,214.90460205078125,12.086743354797363
2021-12-02 09:10:00,120.0,63.45560836791992,220.8268280029297,22.856388092041016
2021-12-02 09:20:00,129.0,157.18299865722656,240.61729431152344,219.5918731689453
2021-12-02 09:30:00,106.0,67.10668182373047,264.962646484375,85.82479095458984
2021-12-02 09:40:00,75.0,92.84123992919922,293.5941162109375,64.00637817382812
2021-12-02 09:50:00,55.0,94.32010650634766,317.2832946777344,30.920185089111328
2021-12-02 10:00:00,43.0,85.5429916381836,225.5404815673828,24.07957649230957
2021-12-02 10:10:00,44.0,72.6093521118164,167.11502075195312,21.49557876586914
2021-12-02 10:20:00,46.0,73.96647644042969,140.8448486328125,28.891216278076172
2021-12-02 10:30:00,43.0,72.3018569946289,207.33599853515625,30.080841064453125
2021-12-02 10:40:00,31.0,70.8659896850586,239.87997436523438,28.176095962524414
2021-12-02 10:50:00,42.0,57.85740661621094,273.05450439453125,19.90794563293457
2021-12-02 11:00:00,62.999996185302734,80.01614379882812,215.54388427734375,37.518211364746094
2021-12-02 11:10:00,83.0,86.53809356689453,82.97000885009766,68.4162826538086
2021-12-02 11:20:00,156.0,94.11621856689453,23.985307693481445,95.36033630371094
2021-12-02 11:30:00,223.0,121.29778289794922,11.110913276672363,180.4991455078125
2021-12-02 11:40:00,223.99998474121094,66.18816375732422,21.323532104492188,228.60061645507812
2021-12-02 11:50:00,221.0,65.56912994384766,45.75285339355469,171.94947814941406
2021-12-02 12:00:00,216.0,91.79732513427734,50.431854248046875,191.2305450439453
2021-12-02 12:10:00,209.0,89.71642303466797,47.78289031982422,187.92276000976562
2021-12-02 12:20:00,180.0,48.99345779418945,58.38267517089844,177.66696166992188
2021-12-02 12:30:00,149.0,46.786312103271484,89.15185546875,152.28041076660156
2021-12-02 12:40:00,132.0,125.75543212890625,100.08800506591797,94.0688705444336
2021-12-02 12:50:00,114.0,121.02860260009766,150.0355987548828,83.74678039550781
2021-12-02 13:00:00,108.0,101.3450927734375,231.95205688476562,53.53265380859375
2021-12-02 13:10:00,133.0,106.10687255859375,269.0108642578125,56.62778091430664
2021-12-02 13:20:00,130.0,130.40049743652344,204.8968505859375,95.67646789550781
2021-12-02 13:30:00,115.0,82.09376525878906,142.6350555419922,42.852596282958984
2021-12-02 13:40:00,100.0,60.32530212402344,139.95811462402344,28.050312042236328
2021-12-02 13:50:00,85.0,46.753570556640625,109.80455017089844,20.68071937561035
2021-12-02 14:00:00,66.0,33.48036575317383,77.0718994140625,14.761475563049316
2021-12-02 14:10:00,40.0,18.80623435974121,100.80254364013672,8.543837547302246
2021-12-02 14:20:00,25.0,6.195377349853516,134.8355255126953,3.7944798469543457
2021-12-02 14:30:00,15.0,2.3792309761047363,102.01435852050781,5.402566432952881
2021-12-02 14:40:00,8.0,2.1725268363952637,91.10789489746094,5.833564281463623
2021-12-02 14:50:00,3.0,3.3734357357025146,54.35127258300781,8.619150161743164
2021-12-02 15:00:00,0.0,0.5527508854866028,51.998008728027344,3.115311861038208
2021-12-02 15:10:00,0.0,0.46265271306037903,26.154272079467773,2.5859155654907227
2021-12-02 15:20:00,0.0,1.1821668148040771,0.6501944661140442,6.859867572784424
2021-12-02 15:30:00,0.0,0.10410625487565994,10.143507957458496,2.510298490524292
2021-12-02 15:40:00,0.0,0.11340941488742828,7.664539337158203,1.662043571472168
2021-12-02 15:50:00,0.0,0.08566436171531677,16.598798751831055,1.600974440574646
2021-12-02 16:00:00,0.0,0.034776702523231506,33.66338348388672,0.8428953289985657
2021-12-02 16:10:00,0.0,0.02971486747264862,36.013450622558594,0.5820850133895874
2021-12-02 16:20:00,0.0,0.028326386585831642,76.37828826904297,0.5166606307029724
2021-12-02 16:30:00,0.0,0.017801610752940178,41.210052490234375,0.34016212821006775
2021-12-02 16:40:00,0.0,0.01813938468694687,81.98321533203125,0.25246018171310425
2021-12-02 16:50:00,0.0,0.014712476171553135,0.8281312584877014,0.20747211575508118
2021-12-02 17:00:00,0.0,0.008533619344234467,1.0507887601852417,0.13943840563297272
2021-12-02 17:10:00,0.0,0.006683101877570152,0.7728458046913147,0.13683496415615082
2021-12-02 17:20:00,0.0,0.0035493471659719944,8.084907531738281,0.17902681231498718
2021-12-02 17:30:00,0.0,0.001027960330247879,33.9482421875,0.2000599056482315
2021-12-02 17:40:00,0.0,0.00015759772213641554,22.00394058227539,0.12903280556201935
